Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.24,3.03.1,3.03,,0.1351165968206273,0.5525295575570209
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.25,3.03.1,3.03,,0.043792825793665786,0.7568388048079501
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.26,3.03.1,3.03,,0.05977332000283158,0.7105121506935141
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.27,3.03.1,3.03,,0.030909556779252723,0.5514316265155959
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.28,3.03.1,3.03,,0.014657806331865595,0.6679685610795317
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.29,3.03.1,3.03,,0.08614209235294874,0.6307701388555111
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.3,3.03.1,3.03,,0.0680420092607875,0.47632663577325846
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.30,3.03.1,3.03,,0.10076379583406134,0.6877307198461369
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.4,3.03.1,3.03,,0.03978252440386938,0.6999229499768083
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.5,3.03.1,3.03,,0.03473810760461263,0.6304975128756592
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.6,3.03.1,3.03,,0.06311691823892755,0.7346776373621677
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.7,3.03.1,3.03,,0.0588682189731129,0.8258911203239343
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.8,3.03.1,3.03,,0.07020327087783411,0.8316117261975672
Fuschia_Mrs_Popple,,Myrtales,,eudicots,3.03.1.9,3.03.1,3.03,,0.13254804817222635,0.8840231603687062
Saxifraga_hostii_ssp_hostii,Saxifraga_hostii,Saxifragales,Saxifraga_hostii,eudicots,3.04.1.1,3.04.1,3.04,adaxial,0.6521454129998708,0.8261538724312141
